BuildToolName,BuildToolVersion
dotnet sdk, 9.0.303
dotnet sdk, latestMajor
dotnet sdk, True
msbuild-sdks Microsoft.Build.Traversal, 4.1.0
msbuild-sdks Microsoft.Build.NoTargets, 3.7.56
Mono JIT compiler, 6.14.1 (tarball Tue Apr 29 17:43:02 UTC 2025)
NuGet package manager, Not installed
api-tools,1.4.2-preview.2
Gradle, 9.2.1
Kotlin, 2.2.20
Groovy, 4.0.28
Ant, Apache Ant(TM) version 1.10.15 compiled on August 25 2024
JVM, Launcher   21.0.9 (Microsoft 21.0.9+10-LTS)
JVM, Daemon     /Library/Java/JavaVirtualMachines/microsoft-21.jdk/Contents/Home (no JDK specified, using current Java home)
openjdk, 21.0.9 2025-10-21 LTS
javac, 21.0.9
